model,split,f1,precision,recall,roc_auc,notebook
"LogReg market (C=0.01, thr=0.42)",test,0.5518955873213176,0.38341968911917096,0.9844789356984479,0.5851952925123658,07_classification
"LogReg all (C=0.1, thr=0.46)",test,0.5405405405405406,0.39314516129032256,0.8647450110864745,0.5781170049462733,07_classification
"RandomForest market (md=3, thr=0.44)",test,0.5549348230912476,0.3853448275862069,0.991130820399113,0.6144069345288857,07_classification
"RandomForest all (md=3, thr=0.46)",test,0.5706409372846313,0.414,0.917960088691796,0.6153998440583806,07_classification
"XGBoost market (iter=999, thr=0.62)",test,0.36778523489932885,0.46598639455782315,0.30376940133037694,0.5569369654735509,07_classification
"XGBoost all (iter=999, thr=0.38)",test,0.511504424778761,0.4256259204712813,0.6407982261640798,0.5615360249506591,07_classification
