model,f1,precision,recall,roc_auc,split,notebook
Dummy (mayoria),0.0,0.0,0.0,0.5,test,06_baseline
Regla: vol_high > Q75,0.427536231884058,0.46949602122015915,0.3924611973392461,0.5588679613069858,test,06_baseline
Regla: abs_return_lag1 > Q75,0.39950372208436724,0.4535211267605634,0.35698447893569846,0.545250481226091,test,06_baseline
LogReg market (thr=0.50),0.5443037974683544,0.39855818743563337,0.8580931263858093,0.5851952925123658,test,06_baseline
LogReg market (thr=0.42 opt),0.5518955873213176,0.38341968911917096,0.9844789356984479,0.5851952925123658,test,06_baseline
