model,mae,rmse,r2,split,notebook
Persistencia (abs_return_lag1),0.014256089693953663,0.019630805080710533,-0.542054562337956,test,06_baseline
Persistencia (abs_return_lag1) [TRAIN],0.01433995702159609,0.023755829520857287,-0.31856014884825945,train,06_baseline
Media historica (train),0.011184649196421153,0.015852511850468477,-0.005587096418692372,test,06_baseline
Linear Regression market,0.011480950677656037,0.015460349257113957,0.04355033338256664,test,06_baseline
Linear Regression market [TRAIN],0.010609882575539215,0.01640217203484461,0.3714175212173044,train,06_baseline
Ridge(alpha=100.0) market,0.011540576897853734,0.015356742457665098,0.056326584159859805,test,06_baseline
Lasso(alpha=0.01) market,0.011046926295829351,0.015495899500661402,0.03914666682476331,test,06_baseline
